time_s,mission_phase,reference_x,reference_y,reference_z,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,tracking_error_x_m,tracking_error_y_m,tracking_error_z_m,estimation_error_x_m,estimation_error_y_m,estimation_error_z_m,truth_roll_deg,truth_pitch_deg,truth_yaw_deg,reference_yaw_deg,yaw_tracking_error_deg,thrust_0_n,thrust_1_n,thrust_2_n,thrust_3_n,torque_x_nm,torque_y_nm,torque_z_nm,solver_time_ms,solver_iterations,solver_success,solver_status
0.46,takeoff,0,0,-0.047460614,-9.7314612e-19,-4.7819952e-19,-0.060001515,-0.0019709564,-0.0070337144,-0.067652923,-9.7314612e-19,-4.7819952e-19,-0.012540901,-0.0019709564,-0.0070337144,-0.0076514083,-1.3878328e-16,1.9309901e-16,1.2722219e-14,0,0,2.9776486,2.9776486,2.9776486,2.9776486,0,0,0,0.016262002,0,True,mission_takeoff
0.47,takeoff,0,0,-0.047460614,-1.0446188e-18,-5.205125e-19,-0.061466888,-0.0034167,-0.006751789,-0.069268726,-1.0446188e-18,-5.205125e-19,-0.014006274,-0.0034167,-0.006751789,-0.0078018373,-1.4312876e-16,1.9797429e-16,1.2722219e-14,0,0,2.9776486,2.9776486,2.9776486,2.9776486,0,0,0,0.016262002,0,True,mission_takeoff
0.48,takeoff,0,0,-0.047460614,-1.1195211e-18,-5.6530493e-19,-0.062943811,-0.0049084818,-0.0064561273,-0.07089392,-1.1195211e-18,-5.6530493e-19,-0.015483197,-0.0049084818,-0.0064561273,-0.0079501082,-1.4747425e-16,2.0284956e-16,1.2722219e-14,0,0,2.9776486,2.9776486,2.9776486,2.9776486,0,0,0,0.016262002,0,True,mission_takeoff
0.49,takeoff,0,0,-0.047460614,-1.1979374e-18,-6.126521e-19,-0.064432284,-0.006446552,-0.0061441781,-0.072526726,-1.1979374e-18,-6.126521e-19,-0.01697167,-0.006446552,-0.0061441781,-0.0080944416,-1.5181973e-16,2.0772483e-16,1.2722219e-14,0,0,2.9776486,2.9776486,2.9776486,2.9776486,0,0,0,0.016262002,0,True,mission_takeoff
0.5,takeoff,0,0,-0.0518204,-1.2799522e-18,-6.6262928e-19,-0.065932306,-0.0080267138,-0.0058160187,-0.074174048,-1.2799522e-18,-6.6262928e-19,-0.014111906,-0.0080267138,-0.0058160187,-0.0082417425,-1.5616522e-16,2.126001e-16,1.2722219e-14,0,0,2.9821864,2.9821864,2.9821864,2.9821864,0,0,0,0.016583999,0,True,mission_takeoff
0.51,takeoff,0,0,-0.0518204,-1.3656524e-18,-7.1531363e-19,-0.067444558,0.0066626765,0.012435164,-0.075645782,-1.3656524e-18,-7.1531363e-19,-0.015624158,0.0066626765,0.012435164,-0.008201224,-1.605107e-16,2.1747537e-16,1.2722219e-14,0,0,2.9821864,2.9821864,2.9821864,2.9821864,0,0,0,0.016583999,0,True,mission_takeoff
0.52,takeoff,0,0,-0.0518204,-1.4551258e-18,-7.7078278e-19,-0.068969873,0.0061925377,0.01408506,-0.077354426,-1.4551258e-18,-7.7078278e-19,-0.017149473,0.0061925377,0.01408506,-0.0083845536,-1.6485618e-16,2.2235064e-16,1.2722219e-14,0,0,2.9821864,2.9821864,2.9821864,2.9821864,0,0,0,0.016583999,0,True,mission_takeoff
0.53,takeoff,0,0,-0.0518204,-1.5484569e-18,-8.2911213e-19,-0.070508249,0.0057153685,0.015785017,-0.079063556,-1.5484569e-18,-8.2911213e-19,-0.018687849,0.0057153685,0.015785017,-0.0085553071,-1.6920167e-16,2.2722592e-16,1.2722219e-14,0,0,2.9821864,2.9821864,2.9821864,2.9821864,0,0,0,0.016583999,0,True,mission_takeoff
0.54,takeoff,0,0,-0.0518204,-1.6457302e-18,-8.9037707e-19,-0.072059688,0.0052320399,0.017545583,-0.080776423,-1.6457302e-18,-8.9037707e-19,-0.020239288,0.0052320399,0.017545583,-0.0087167355,-1.7354715e-16,2.3210119e-16,1.2722219e-14,0,0,2.9821864,2.9821864,2.9821864,2.9821864,0,0,0,0.016583999,0,True,mission_takeoff
0.55,takeoff,0,0,-0.057028594,-1.7470305e-18,-9.5465299e-19,-0.073624189,0.0047488834,0.019365869,-0.082496955,-1.7470305e-18,-9.5465299e-19,-0.016595594,0.0047488834,0.019365869,-0.0088727668,-1.7789264e-16,2.3697646e-16,1.2722219e-14,0,0,2.9909017,2.9909017,2.9909017,2.9909017,0,0,0,0.016667,0,True,mission_takeoff
